# t[days] Lbol[erg/s]
0.51724 1.00580e+41
1.03448 1.35327e+41
1.55172 3.55040e+41
2.06897 5.00914e+41
2.58621 5.00914e+41
3.10345 4.49209e+41
3.62069 3.72840e+41
4.13793 2.99359e+41
4.65517 2.42766e+41
5.17241 1.82535e+41
5.68966 1.39459e+41
6.20690 1.01424e+41
6.72414 7.89804e+40
7.24138 5.40388e+40
7.75862 3.96380e+40
8.27586 2.87799e+40
8.79310 1.71407e+40
9.31034 1.07257e+40
9.82759 7.17920e+39
10.34483 4.80539e+39
10.86207 3.21647e+39
11.37931 2.15294e+39
11.89655 1.44107e+39
12.41379 9.64575e+38
12.93103 6.45636e+38
13.44828 4.32155e+38
13.96552 2.89262e+38
14.48276 1.93617e+38
15.00000 1.29597e+38
