# t[days] u g r i z y J H K
0.51724 -12.272 -12.168 -12.293 -12.545 -13.681 -13.441 -10.850 -12.014 -12.275 
1.03448 -12.782 -13.763 -14.233 -14.094 -14.075 -13.496 -13.041 -12.860 -12.275 
1.55172 -12.782 -13.763 -14.347 -14.766 -14.606 -14.121 -13.294 -12.876 -12.777 
2.06897 -12.298 -13.613 -14.347 -14.766 -14.606 -14.121 -13.294 -12.876 -12.235 
2.58621 -11.891 -13.277 -14.222 -14.606 -14.343 -13.793 -13.192 -12.638 -12.096 
3.10345 -11.190 -12.957 -13.910 -14.255 -13.965 -13.292 -12.455 -12.125 -11.689 
3.62069 -10.564 -12.644 -13.533 -13.822 -13.466 -12.781 -12.195 -12.009 -11.323 
4.13793 -9.922 -12.157 -13.148 -13.374 -12.879 -12.149 -11.830 -11.589 -11.153 
4.65517 -9.221 -11.777 -12.687 -12.904 -12.424 -11.849 -11.148 -10.884 -10.791 
5.17241 -8.777 -11.282 -12.347 -12.447 -11.969 -11.503 -10.867 -10.832 -10.621 
5.68966 -8.130 -10.934 -12.068 -12.140 -11.733 -11.012 -10.840 -10.829 -10.467 
6.20690 -7.528 -10.561 -11.808 -11.976 -11.420 -10.760 -10.717 -10.744 -10.467 
6.72414 -7.183 -10.316 -11.563 -11.754 -11.271 -10.760 -10.556 -10.719 -10.478 
7.24138 -6.533 -10.004 -11.309 -11.439 -11.110 -10.760 -10.503 -10.719 -10.629 
7.75862 -6.183 -9.718 -11.092 -11.322 -10.937 -10.590 -10.503 -10.629 -10.629 
8.27586 -6.036 -9.413 -10.894 -11.200 -10.769 -10.330 -10.476 -10.629 -10.695 
8.79310 -5.325 -9.195 -10.658 -10.953 -10.674 -10.273 -10.453 -10.606 -10.695 
9.31034 -4.722 -8.723 -10.405 -10.761 -10.455 -10.002 -10.388 -10.575 -10.695 
9.82759 -4.697 -8.558 -10.113 -10.592 -10.412 -9.983 -10.177 -10.547 -10.799 
10.34483 -3.988 -8.224 -9.860 -10.300 -10.221 -9.853 -10.073 -10.547 -10.799 
10.86207 -3.897 -7.893 -9.696 -10.218 -10.056 -9.659 -10.075 -10.535 -10.703 
11.37931 -2.837 -7.521 -9.315 -9.933 -9.858 -9.556 -9.938 -10.488 -10.644 
11.89655 -1.409 -7.167 -9.224 -9.745 -9.699 -9.305 -9.796 -10.433 -10.633 
12.41379 -1.409 -6.968 -8.858 -9.467 -9.583 -9.196 -9.781 -10.340 -10.644 
12.93103 -1.618 -6.634 -8.547 -9.173 -9.333 -9.106 -9.639 -10.325 -10.633 
13.44828 -1.618 -6.262 -8.302 -9.139 -9.054 -8.900 -9.496 -10.156 -10.559 
13.96552 -0.017 -5.678 -7.973 -8.814 -8.745 -8.582 -9.485 -10.145 -10.519 
14.48276 0.253 -5.578 -7.685 -8.587 -8.720 -8.509 -9.159 -10.068 -10.429 
15.00000 0.253 -5.197 -7.478 -8.373 -8.526 -8.450 -9.103 -9.893 -10.206 
