# t[days] Lbol[erg/s]
0.51724 2.09995e+40
1.03448 2.30519e+41
1.55172 6.13318e+41
2.06897 6.13318e+41
2.58621 5.58898e+41
3.10345 5.03201e+41
3.62069 4.52779e+41
4.13793 3.83487e+41
4.65517 3.22448e+41
5.17241 2.56586e+41
5.68966 2.04122e+41
6.20690 1.63427e+41
6.72414 1.25863e+41
7.24138 1.02743e+41
7.75862 8.01747e+40
8.27586 6.29517e+40
8.79310 5.14815e+40
9.31034 4.48087e+40
9.82759 3.88032e+40
10.34483 3.36026e+40
10.86207 2.90990e+40
11.37931 2.51990e+40
11.89655 2.18217e+40
12.41379 1.88970e+40
12.93103 1.63643e+40
13.44828 1.41711e+40
13.96552 1.22718e+40
14.48276 1.06271e+40
15.00000 9.20278e+39
