# t[days] u g r i z y J H K
1.22449 -12.513 -14.165 -15.235 -15.727 -16.026 -16.106 -16.036 -15.918 -15.528 
1.42857 -12.513 -14.165 -15.235 -15.732 -16.042 -16.112 -16.134 -15.999 -15.709 
1.63265 -12.111 -13.967 -15.134 -15.732 -16.026 -16.126 -16.156 -16.014 -15.810 
1.83673 -11.768 -13.798 -15.017 -15.732 -15.995 -16.138 -16.199 -16.150 -15.894 
2.04082 -11.397 -13.612 -14.981 -15.689 -15.991 -16.126 -16.228 -16.181 -16.041 
2.24490 -11.207 -13.406 -14.779 -15.617 -15.977 -16.104 -16.228 -16.225 -16.065 
2.44898 -10.791 -13.243 -14.670 -15.513 -15.892 -16.068 -16.223 -16.271 -16.065 
2.65306 -10.399 -13.060 -14.554 -15.386 -15.843 -15.984 -16.223 -16.271 -16.065 
2.85714 -10.157 -12.803 -14.404 -15.311 -15.760 -15.965 -16.209 -16.253 -16.114 
3.06122 -9.697 -12.606 -14.214 -15.214 -15.698 -15.962 -16.174 -16.225 -16.186 
3.26531 -9.411 -12.300 -14.024 -15.083 -15.589 -15.839 -16.147 -16.225 -16.186 
3.46939 -9.211 -12.162 -13.909 -14.947 -15.511 -15.743 -16.086 -16.202 -16.160 
3.67347 -8.816 -11.930 -13.693 -14.801 -15.387 -15.694 -16.046 -16.187 -16.151 
3.87755 -8.422 -11.706 -13.581 -14.674 -15.274 -15.596 -15.971 -16.161 -16.149 
4.08163 -8.178 -11.339 -13.398 -14.558 -15.188 -15.513 -15.920 -16.096 -16.149 
4.28571 -7.823 -11.209 -13.185 -14.416 -15.069 -15.402 -15.870 -16.086 -16.122 
4.48980 -7.604 -10.953 -13.024 -14.260 -14.911 -15.308 -15.760 -16.057 -16.051 
4.69388 -7.040 -10.681 -12.800 -14.108 -14.818 -15.124 -15.711 -15.977 -16.045 
4.89796 -6.681 -10.482 -12.629 -13.935 -14.691 -15.065 -15.633 -15.972 -16.044 
5.10204 -6.648 -10.199 -12.439 -13.794 -14.568 -14.978 -15.566 -15.923 -15.973 
5.30612 -6.077 -9.968 -12.276 -13.672 -14.431 -14.827 -15.501 -15.834 -15.973 
5.51020 -5.765 -9.693 -11.962 -13.426 -14.261 -14.745 -15.385 -15.785 -15.938 
5.71429 -5.621 -9.436 -11.811 -13.306 -14.111 -14.597 -15.330 -15.699 -15.842 
5.91837 -4.622 -9.206 -11.571 -13.184 -14.005 -14.540 -15.225 -15.694 -15.793 
