# t[days] Lbol[erg/s]
1.22449 1.32289e+40
1.42857 1.32289e+40
1.63265 1.12410e+40
1.83673 9.74613e+39
2.04082 8.53638e+39
2.24490 7.52624e+39
2.44898 6.64401e+39
2.65306 5.93316e+39
2.85714 5.29513e+39
3.06122 4.83647e+39
3.26531 4.25265e+39
3.46939 3.91862e+39
3.67347 3.53129e+39
3.87755 3.20774e+39
4.08163 2.93821e+39
4.28571 2.67255e+39
4.48980 2.39868e+39
4.69388 2.19960e+39
4.89796 2.01256e+39
5.10204 1.86284e+39
5.30612 1.71223e+39
5.51020 1.55684e+39
5.71429 1.40359e+39
5.91837 1.29196e+39
