# t[days] Lbol[erg/s]
1.22449 7.17471e+40
1.42857 7.17471e+40
1.63265 7.08815e+40
1.83673 6.97130e+40
2.04082 7.08815e+40
2.24490 7.05232e+40
2.44898 7.11543e+40
2.65306 7.09045e+40
2.85714 7.09045e+40
3.06122 6.98470e+40
3.26531 6.96560e+40
3.46939 6.76190e+40
3.67347 6.67431e+40
3.87755 6.48169e+40
4.08163 6.30869e+40
4.28571 6.06913e+40
4.48980 5.82855e+40
4.69388 5.62419e+40
4.89796 5.43845e+40
5.10204 5.30232e+40
5.30612 5.01278e+40
5.51020 4.86051e+40
5.71429 4.61731e+40
5.91837 4.38413e+40
