# t[days] Lbol[erg/s]
1.22449 1.11095e+42
1.42857 1.11095e+42
1.63265 1.01369e+42
1.83673 9.06739e+41
2.04082 8.16261e+41
2.24490 7.14533e+41
2.44898 6.35057e+41
2.65306 5.72993e+41
2.85714 4.98144e+41
3.06122 4.43479e+41
3.26531 3.94391e+41
3.46939 3.57430e+41
3.67347 3.17658e+41
3.87755 2.88354e+41
4.08163 2.61294e+41
4.28571 2.41672e+41
4.48980 2.24457e+41
4.69388 1.91931e+41
4.89796 1.81358e+41
5.10204 1.68379e+41
5.30612 1.55066e+41
5.51020 1.43026e+41
5.71429 1.38340e+41
5.91837 1.23485e+41
