# t[days] Lbol[erg/s]
1.22449 1.16736e+41
1.42857 1.24258e+41
1.63265 1.31489e+41
1.83673 1.33997e+41
2.04082 1.33997e+41
2.24490 1.33060e+41
2.44898 1.29588e+41
2.65306 1.23545e+41
2.85714 1.17902e+41
3.06122 1.09618e+41
3.26531 1.02645e+41
3.46939 9.59888e+40
3.67347 8.86151e+40
3.87755 8.21796e+40
4.08163 7.51225e+40
4.28571 6.96795e+40
4.48980 6.39695e+40
4.69388 5.88742e+40
4.89796 5.43376e+40
5.10204 4.93669e+40
5.30612 4.56215e+40
5.51020 4.23682e+40
5.71429 3.87149e+40
5.91837 3.65274e+40
