# t[days] Lbol[erg/s]
1.22449 1.56251e+40
1.42857 1.56251e+40
1.63265 1.30099e+40
1.83673 1.11737e+40
2.04082 9.81682e+39
2.24490 8.52123e+39
2.44898 7.56260e+39
2.65306 6.83117e+39
2.85714 6.24904e+39
3.06122 5.53515e+39
3.26531 5.03644e+39
3.46939 4.55482e+39
3.67347 4.20663e+39
3.87755 3.80613e+39
4.08163 3.48569e+39
4.28571 3.21748e+39
4.48980 2.98406e+39
4.69388 2.69521e+39
4.89796 2.52280e+39
5.10204 2.29361e+39
5.30612 2.16456e+39
5.51020 1.92310e+39
5.71429 1.86006e+39
5.91837 1.69881e+39
