# t[days] Lbol[erg/s]
0.51724 1.59139e+41
1.03448 3.27229e+41
1.55172 3.50699e+41
2.06897 3.50699e+41
2.58621 2.84233e+41
3.10345 2.15331e+41
3.62069 1.47770e+41
4.13793 1.10921e+41
4.65517 8.54143e+40
5.17241 6.48876e+40
5.68966 5.13130e+40
6.20690 3.97359e+40
6.72414 3.32262e+40
7.24138 2.76293e+40
7.75862 2.19568e+40
8.27586 1.81393e+40
8.79310 1.57130e+40
9.31034 1.29975e+40
9.82759 1.15541e+40
10.34483 1.02709e+40
10.86207 9.13030e+39
11.37931 8.11634e+39
11.89655 7.21498e+39
12.41379 6.41372e+39
12.93103 5.70144e+39
13.44828 5.06827e+39
13.96552 4.50541e+39
14.48276 4.00506e+39
15.00000 3.56028e+39
