# t[days] Lbol[erg/s]
0.51724 1.03335e+40
1.03448 4.19713e+40
1.55172 4.94355e+40
2.06897 5.97922e+40
2.58621 5.97922e+40
3.10345 3.78183e+40
3.62069 3.13547e+40
4.13793 2.19062e+40
4.65517 1.75709e+40
5.17241 1.50188e+40
5.68966 1.27751e+40
6.20690 1.11974e+40
6.72414 9.15893e+39
7.24138 8.15768e+39
7.75862 7.43106e+39
8.27586 6.67459e+39
8.79310 6.11625e+39
9.31034 5.02266e+39
9.82759 4.97304e+39
10.34483 4.92390e+39
10.86207 4.87525e+39
11.37931 4.82708e+39
11.89655 4.77939e+39
12.41379 4.73216e+39
12.93103 4.68541e+39
13.44828 4.63911e+39
13.96552 4.59328e+39
14.48276 4.54789e+39
15.00000 4.50296e+39
