# t[days] Lbol[erg/s]
0.51724 6.55443e+40
1.03448 6.55443e+40
1.55172 2.04581e+40
2.06897 8.98989e+39
2.58621 5.17005e+39
3.10345 3.47059e+39
3.62069 2.38050e+39
4.13793 1.72363e+39
4.65517 1.45156e+39
5.17241 1.16051e+39
5.68966 9.39454e+38
6.20690 8.02188e+38
6.72414 6.79390e+38
7.24138 5.68031e+38
7.75862 4.98411e+38
8.27586 4.27408e+38
8.79310 3.70692e+38
9.31034 3.39388e+38
9.82759 2.98295e+38
10.34483 2.62178e+38
10.86207 2.30434e+38
11.37931 2.02533e+38
11.89655 1.78010e+38
12.41379 1.56457e+38
12.93103 1.37513e+38
13.44828 1.20863e+38
13.96552 1.06229e+38
14.48276 9.33669e+37
15.00000 8.20621e+37
