# t[days] Lbol[erg/s]
0.51724 6.84402e+40
1.03448 1.05573e+41
1.55172 1.05573e+41
2.06897 8.26437e+40
2.58621 6.66155e+40
3.10345 5.92585e+40
3.62069 5.01063e+40
4.13793 4.44574e+40
4.65517 3.97374e+40
5.17241 3.24551e+40
5.68966 2.82487e+40
6.20690 2.32958e+40
6.72414 2.02211e+40
7.24138 1.75637e+40
7.75862 1.56765e+40
8.27586 1.36159e+40
8.79310 1.19718e+40
9.31034 1.09505e+40
9.82759 9.34394e+39
10.34483 7.97304e+39
10.86207 6.80328e+39
11.37931 5.80514e+39
11.89655 4.95344e+39
12.41379 4.22670e+39
12.93103 3.60658e+39
13.44828 3.07744e+39
13.96552 2.62593e+39
14.48276 2.24067e+39
15.00000 1.91193e+39
