# t[days] Lbol[erg/s]
0.51724 1.72407e+41
1.03448 6.04897e+41
1.55172 6.18295e+41
2.06897 6.04897e+41
2.58621 5.53799e+41
3.10345 4.69715e+41
3.62069 4.07707e+41
4.13793 3.25849e+41
4.65517 2.64905e+41
5.17241 2.03954e+41
5.68966 1.66519e+41
6.20690 1.44023e+41
6.72414 1.20049e+41
7.24138 1.00342e+41
7.75862 8.80809e+40
8.27586 7.40806e+40
8.79310 6.16542e+40
9.31034 5.56583e+40
9.82759 4.85212e+40
10.34483 4.22992e+40
10.86207 3.68751e+40
11.37931 3.21465e+40
11.89655 2.80243e+40
12.41379 2.44307e+40
12.93103 2.12979e+40
13.44828 1.85669e+40
13.96552 1.61860e+40
14.48276 1.41104e+40
15.00000 1.23010e+40
