# t[days] u g r i z y J H K
0.51724 -12.389 -11.519 -12.508 -12.072 -12.245 -11.915 -11.222 -11.788 -6.774 
1.03448 -12.452 -12.796 -13.313 -13.766 -13.772 -13.790 -13.418 -13.393 -13.222 
1.55172 -12.452 -12.796 -13.313 -13.766 -13.805 -13.882 -13.678 -13.632 -13.481 
2.06897 -11.448 -12.219 -13.116 -13.661 -13.772 -13.882 -13.783 -13.632 -13.481 
2.58621 -10.369 -11.642 -12.663 -13.282 -13.736 -13.882 -13.754 -13.639 -13.664 
3.10345 -9.324 -10.782 -12.144 -13.172 -13.678 -13.627 -13.754 -13.781 -13.675 
3.62069 -8.147 -10.043 -11.750 -12.902 -13.224 -13.362 -13.706 -13.798 -13.915 
4.13793 -6.931 -9.461 -11.275 -12.338 -13.124 -13.154 -13.525 -13.781 -13.915 
4.65517 -5.994 -8.745 -10.653 -12.021 -12.647 -13.060 -13.286 -13.760 -13.698 
5.17241 -4.830 -8.303 -10.392 -11.822 -12.570 -12.813 -13.188 -13.481 -13.641 
5.68966 -4.253 -7.294 -9.822 -11.391 -12.000 -12.396 -12.940 -13.356 -13.464 
6.20690 -2.434 -6.565 -9.229 -11.034 -11.504 -12.304 -12.744 -13.162 -13.250 
6.72414 -1.402 -6.024 -8.654 -10.724 -11.453 -11.581 -12.479 -13.066 -13.162 
7.24138 0.059 -5.883 -8.249 -10.149 -10.835 -11.374 -12.355 -12.736 -13.137 
7.75862 1.269 -5.305 -7.919 -9.844 -10.605 -11.131 -11.939 -12.677 -13.105 
8.27586 2.480 -4.498 -7.177 -9.215 -10.320 -10.917 -11.698 -12.505 -12.834 
8.79310 3.690 -3.643 -7.039 -8.762 -9.792 -10.538 -11.661 -12.384 -12.775 
9.31034 4.900 -2.951 -6.948 -8.049 -9.496 -10.253 -11.282 -12.127 -12.490 
9.82759 6.111 -1.637 -5.519 -7.773 -8.855 -9.984 -11.101 -11.875 -12.464 
10.34483 7.321 -0.933 -5.482 -7.353 -8.728 -9.555 -10.851 -11.810 -12.276 
10.86207 8.532 -0.933 -4.499 -7.109 -8.276 -8.885 -10.413 -11.451 -12.209 
11.37931 9.742 1.672 -4.499 -6.628 -8.068 -8.856 -10.260 -11.343 -12.021 
11.89655 10.953 2.735 -4.499 -6.422 -7.779 -8.641 -9.863 -11.120 -11.925 
12.41379 12.163 3.797 -2.969 -5.407 -7.272 -8.095 -9.805 -10.944 -11.786 
12.93103 13.374 4.860 -1.937 -5.184 -6.919 -7.647 -9.475 -10.720 -11.641 
13.44828 14.584 5.923 0.060 -4.829 -6.299 -7.613 -9.196 -10.309 -11.186 
13.96552 15.795 6.986 0.965 -3.647 -5.801 -6.274 -8.626 -10.207 -10.826 
14.48276 17.005 8.049 1.871 -3.647 -5.801 -6.274 -8.209 -9.799 -10.588 
15.00000 17.005 8.049 1.871 -3.188 -4.494 -6.175 -7.853 -9.248 -10.278 
