# t[days] u g r i z y J H K
0.51724 -11.932 -12.747 -12.960 -13.337 -13.515 -13.621 -13.196 -11.938 -12.371 
1.03448 -11.932 -12.747 -13.605 -14.254 -14.449 -14.422 -14.220 -13.836 -13.251 
1.55172 -11.330 -12.698 -13.605 -14.254 -14.449 -14.536 -14.456 -14.024 -13.799 
2.06897 -10.063 -11.822 -13.164 -13.990 -14.366 -14.536 -14.456 -14.258 -14.011 
2.58621 -8.874 -11.148 -12.686 -13.655 -14.114 -14.245 -14.298 -14.258 -14.011 
3.10345 -7.189 -10.346 -11.970 -13.087 -13.693 -13.787 -13.960 -13.943 -13.857 
3.62069 -5.977 -9.308 -11.214 -12.393 -13.047 -13.280 -13.521 -13.702 -13.558 
4.13793 -4.605 -8.557 -10.524 -11.782 -12.476 -12.794 -13.164 -13.232 -13.222 
4.65517 -4.425 -7.717 -9.976 -11.244 -11.969 -12.276 -12.756 -12.979 -13.051 
5.17241 -1.746 -6.727 -9.295 -10.669 -11.549 -11.954 -12.339 -12.636 -12.828 
5.68966 -0.041 -6.090 -8.582 -10.254 -11.109 -11.570 -12.107 -12.479 -12.613 
6.20690 1.427 -5.166 -8.123 -9.700 -10.525 -11.124 -11.753 -12.228 -12.363 
6.72414 2.908 -4.853 -7.395 -9.227 -10.100 -10.625 -11.417 -11.959 -12.248 
7.24138 4.389 -3.862 -7.204 -8.772 -9.851 -10.226 -11.122 -11.738 -12.107 
7.75862 5.869 -3.844 -6.547 -8.331 -9.370 -10.068 -10.839 -11.560 -11.897 
8.27586 7.350 -1.840 -6.057 -7.711 -9.069 -9.558 -10.624 -11.369 -11.807 
8.79310 8.831 -1.447 -4.822 -7.295 -8.516 -9.200 -10.336 -11.173 -11.590 
9.31034 10.312 -1.437 -4.817 -6.663 -8.146 -8.888 -10.072 -10.999 -11.516 
9.82759 11.793 0.194 -4.170 -6.542 -7.576 -8.325 -9.839 -10.728 -11.370 
10.34483 13.274 1.002 -3.635 -6.255 -7.259 -8.182 -9.486 -10.622 -11.191 
10.86207 14.754 1.810 -2.589 -5.367 -6.976 -7.574 -9.137 -10.359 -11.065 
11.37931 16.235 2.617 -2.415 -5.195 -6.278 -7.155 -8.913 -10.316 -10.912 
11.89655 17.716 3.425 -2.415 -4.852 -6.253 -7.146 -8.601 -10.120 -10.878 
12.41379 19.197 4.233 -2.415 -4.571 -5.972 -6.665 -8.515 -9.775 -10.628 
12.93103 20.678 5.040 -0.146 -3.585 -5.585 -6.448 -8.179 -9.646 -10.507 
13.44828 22.159 5.848 11.957 -3.012 -4.992 -5.941 -7.890 -9.442 -10.408 
13.96552 23.639 6.656 14.866 -2.598 -4.341 -5.727 -7.588 -9.135 -10.076 
14.48276 25.120 7.463 17.775 -2.590 -3.723 -4.760 -7.100 -8.696 -9.875 
15.00000 25.120 7.463 17.775 -1.553 -3.384 -4.516 -6.632 -8.446 -9.413 
