# t[days] u g r i z y J H K
0.51724 -11.743 -13.073 -13.656 -13.759 -13.875 -13.761 -13.404 -12.994 -12.161 
1.03448 -11.743 -13.073 -13.656 -13.759 -13.875 -13.761 -13.404 -12.994 -12.161 
1.55172 -9.180 -11.232 -12.279 -12.703 -12.870 -12.807 -12.639 -12.397 -12.114 
2.06897 -7.458 -9.785 -11.115 -11.728 -11.922 -11.923 -11.871 -11.799 -11.575 
2.58621 -5.622 -8.680 -10.109 -10.846 -11.133 -11.093 -11.258 -11.452 -11.216 
3.10345 -4.206 -7.738 -9.298 -10.086 -10.369 -10.563 -10.812 -11.006 -11.124 
3.62069 -2.639 -6.387 -8.400 -9.413 -9.856 -9.861 -10.396 -10.815 -10.839 
4.13793 0.265 -5.527 -7.569 -8.647 -9.163 -9.441 -9.923 -10.472 -10.743 
4.65517 2.154 -3.930 -6.622 -7.958 -8.600 -8.811 -9.595 -10.148 -10.559 
5.17241 4.043 -3.402 -5.814 -7.291 -7.848 -8.323 -9.139 -9.964 -10.253 
5.68966 5.932 -2.618 -5.051 -6.244 -7.296 -7.429 -8.793 -9.593 -10.150 
6.20690 7.821 -0.652 -4.173 -5.635 -6.603 -7.217 -8.229 -9.304 -9.891 
6.72414 9.710 -0.484 -3.634 -4.947 -6.145 -6.736 -7.862 -8.987 -9.698 
7.24138 11.599 -0.484 -1.218 -3.340 -4.862 -5.676 -7.500 -8.706 -9.439 
7.75862 13.488 0.249 -1.218 -2.941 -4.550 -5.314 -7.106 -8.413 -9.340 
8.27586 15.377 0.979 -0.665 -2.395 -3.729 -4.659 -6.531 -8.090 -9.000 
8.79310 17.266 1.709 3.973 -2.143 -3.266 -4.328 -5.792 -7.511 -8.712 
9.31034 19.155 2.439 5.602 7.480 -2.875 -4.067 -5.456 -7.395 -8.521 
9.82759 21.044 3.169 7.231 9.966 -2.639 -2.703 -5.201 -7.222 -8.301 
10.34483 22.933 3.899 8.860 12.451 -1.891 -2.373 -4.554 -6.577 -7.927 
10.86207 24.822 4.629 10.490 14.936 -1.608 -1.567 -4.520 -6.477 -7.814 
11.37931 26.711 5.359 12.119 17.422 -1.168 1.179 -3.580 -6.161 -7.570 
11.89655 28.600 6.089 13.748 19.907 -1.084 2.280 -2.983 -5.795 -7.321 
12.41379 30.489 6.819 15.377 22.393 -0.681 3.382 -2.972 -5.400 -7.111 
12.93103 32.378 7.549 17.007 24.878 -0.297 4.483 -2.750 -4.999 -6.572 
13.44828 34.267 8.279 18.636 27.363 0.068 5.584 -1.059 -4.775 -6.556 
13.96552 36.156 9.009 20.265 29.849 0.403 6.686 -0.997 -4.258 -6.528 
14.48276 38.045 9.739 21.894 32.334 0.738 7.787 3.680 -3.860 -6.285 
15.00000 38.045 9.739 21.894 32.334 0.738 7.787 3.680 -2.664 -5.799 
