# t[days] Lbol[erg/s]
0.51724 6.21302e+40
1.03448 6.67857e+40
1.55172 1.80675e+41
2.06897 1.80675e+41
2.58621 1.64350e+41
3.10345 1.04405e+41
3.62069 8.56847e+40
4.13793 6.94623e+40
4.65517 5.25452e+40
5.17241 4.00342e+40
5.68966 3.18513e+40
6.20690 2.43815e+40
6.72414 2.00385e+40
7.24138 1.64357e+40
7.75862 1.35763e+40
8.27586 1.14955e+40
8.79310 1.00539e+40
9.31034 9.21973e+39
9.82759 8.32401e+39
10.34483 7.51530e+39
10.86207 6.78516e+39
11.37931 6.12596e+39
11.89655 5.53081e+39
12.41379 4.99347e+39
12.93103 4.50834e+39
13.44828 4.07034e+39
13.96552 3.67489e+39
14.48276 3.31786e+39
15.00000 2.99552e+39
