# t[days] Lbol[erg/s]
0.51724 4.76372e+40
1.03448 2.02647e+41
1.55172 2.64161e+41
2.06897 2.64161e+41
2.58621 2.24186e+41
3.10345 1.75829e+41
3.62069 1.23865e+41
4.13793 8.69264e+40
4.65517 5.85511e+40
5.17241 4.03759e+40
5.68966 2.97950e+40
6.20690 2.37876e+40
6.72414 1.95318e+40
7.24138 1.70088e+40
7.75862 1.40432e+40
8.27586 1.25792e+40
8.79310 1.04487e+40
9.31034 9.66273e+39
9.82759 8.49441e+39
10.34483 7.46734e+39
10.86207 6.56446e+39
11.37931 5.77074e+39
11.89655 5.07300e+39
12.41379 4.45962e+39
12.93103 3.92040e+39
13.44828 3.44638e+39
13.96552 3.02968e+39
14.48276 2.66336e+39
15.00000 2.34133e+39
