# t[days] u g r i z y J H K
0.51724 -10.936 -10.909 -11.963 -12.856 -13.119 -12.416 -9.709 -10.727 -10.940 
1.03448 -12.944 -13.340 -13.779 -13.833 -14.325 -14.689 -13.856 -10.753 -12.106 
1.55172 -12.944 -13.340 -13.779 -14.148 -14.531 -14.755 -14.074 -14.030 -13.559 
2.06897 -12.783 -13.056 -13.610 -14.148 -14.531 -14.755 -14.254 -14.030 -14.061 
2.58621 -12.319 -12.906 -13.594 -13.879 -14.323 -14.388 -14.320 -14.030 -13.741 
3.10345 -11.659 -12.285 -13.010 -13.751 -14.171 -13.951 -14.325 -14.391 -14.061 
3.62069 -10.850 -11.851 -12.804 -13.726 -14.112 -13.943 -14.320 -14.391 -14.414 
4.13793 -10.192 -11.252 -12.256 -13.104 -13.736 -13.873 -14.170 -14.339 -14.583 
4.65517 -9.503 -10.796 -11.812 -13.091 -13.688 -13.843 -14.132 -14.339 -14.414 
5.17241 -8.743 -10.148 -11.472 -12.657 -13.465 -13.699 -14.099 -14.185 -14.388 
5.68966 -8.066 -9.641 -11.168 -12.349 -13.109 -13.416 -13.737 -14.029 -14.262 
6.20690 -7.379 -9.154 -10.780 -12.137 -12.753 -13.142 -13.718 -14.029 -14.249 
6.72414 -6.655 -8.668 -10.506 -11.844 -12.573 -12.917 -13.491 -13.942 -14.159 
7.24138 -5.948 -8.152 -10.466 -11.493 -12.510 -12.847 -13.451 -13.857 -14.019 
7.75862 -5.190 -7.743 -9.658 -11.401 -12.257 -12.657 -13.403 -13.684 -14.019 
8.27586 -4.491 -7.133 -9.469 -11.227 -12.018 -12.602 -13.261 -13.678 -13.859 
8.79310 -3.892 -6.810 -8.863 -10.806 -11.869 -12.268 -13.043 -13.563 -13.730 
9.31034 -3.112 -6.345 -8.749 -10.457 -11.596 -12.234 -12.777 -13.383 -13.730 
9.82759 -2.403 -5.932 -8.506 -10.062 -11.210 -11.793 -12.750 -13.377 -13.659 
10.34483 -1.623 -5.468 -7.978 -9.967 -10.912 -11.793 -12.451 -13.201 -13.554 
10.86207 -0.920 -4.576 -7.460 -9.584 -10.871 -11.635 -12.401 -13.061 -13.529 
11.37931 -0.247 -4.427 -7.432 -9.286 -10.681 -11.075 -12.005 -12.872 -13.346 
11.89655 0.482 -3.671 -7.260 -9.176 -10.351 -11.019 -11.987 -12.779 -13.286 
12.41379 1.200 -3.475 -6.647 -8.735 -9.959 -10.563 -11.784 -12.684 -13.056 
12.93103 1.919 -2.637 -6.595 -8.546 -9.932 -10.421 -11.588 -12.554 -13.027 
13.44828 2.638 -2.307 -6.136 -8.290 -9.426 -10.062 -11.483 -12.463 -12.936 
13.96552 3.357 -2.012 -5.834 -7.755 -9.014 -9.644 -11.297 -12.296 -12.712 
14.48276 4.075 -1.780 -4.762 -7.094 -8.807 -9.550 -10.907 -12.032 -12.538 
15.00000 4.075 -0.998 -4.281 -6.943 -8.232 -9.223 -10.731 -11.739 -12.523 
