# t[days] Lbol[erg/s]
0.51724 1.48799e+41
1.03448 4.36925e+41
1.55172 5.81883e+41
2.06897 5.81883e+41
2.58621 5.48634e+41
3.10345 4.43061e+41
3.62069 3.35424e+41
4.13793 2.66034e+41
4.65517 2.05736e+41
5.17241 1.64833e+41
5.68966 1.34030e+41
6.20690 1.08028e+41
6.72414 8.92240e+40
7.24138 7.58731e+40
7.75862 6.35605e+40
8.27586 5.33328e+40
8.79310 4.55559e+40
9.31034 3.94530e+40
9.82759 3.38863e+40
10.34483 2.91051e+40
10.86207 2.49985e+40
11.37931 2.14713e+40
11.89655 1.84418e+40
12.41379 1.58397e+40
12.93103 1.36048e+40
13.44828 1.16852e+40
13.96552 1.00365e+40
14.48276 8.62035e+39
15.00000 7.40405e+39
