# t[days] Lbol[erg/s]
0.51724 3.04018e+40
1.03448 6.18617e+40
1.55172 6.18617e+40
2.06897 4.36987e+40
2.58621 2.70546e+40
3.10345 2.30832e+40
3.62069 1.63310e+40
4.13793 1.55526e+40
4.65517 1.38793e+40
5.17241 1.13480e+40
5.68966 9.96507e+39
6.20690 8.80191e+39
6.72414 7.75060e+39
7.24138 6.32752e+39
7.75862 5.63556e+39
8.27586 5.11498e+39
8.79310 4.75730e+39
9.31034 4.21227e+39
9.82759 3.54277e+39
10.34483 2.97968e+39
10.86207 2.50608e+39
11.37931 2.10776e+39
11.89655 1.77275e+39
12.41379 1.49099e+39
12.93103 1.25401e+39
13.44828 1.05470e+39
13.96552 8.87063e+38
14.48276 7.46072e+38
15.00000 6.27491e+38
