# t[days] Lbol[erg/s]
0.51724 2.19757e+40
1.03448 2.19757e+40
1.55172 1.83911e+40
2.06897 1.26979e+40
2.58621 7.14510e+39
3.10345 5.07042e+39
3.62069 3.13931e+39
4.13793 2.47609e+39
4.65517 2.33043e+39
5.17241 6.98647e+38
5.68966 6.28577e+38
6.20690 2.12001e+38
6.72414 1.48093e+38
7.24138 7.03262e+37
7.75862 1.81549e+36
8.27586 1.81549e+36
8.79310 4.39345e+37
9.31034 1.64333e+39
9.82759 6.14671e+40
10.34483 2.29912e+42
10.86207 8.59963e+43
11.37931 3.21661e+45
11.89655 1.20314e+47
12.41379 4.50023e+48
12.93103 1.68327e+50
13.44828 6.29610e+51
13.96552 2.35500e+53
14.48276 8.80864e+54
15.00000 8.80864e+54
