# t[days] u g r i z y J H K
0.51724 -11.760 -13.006 -13.606 -13.412 -11.327 -11.606 -9.683 -8.432 -5.254 
1.03448 -12.839 -13.129 -13.668 -14.269 -15.056 -14.193 -13.312 -12.430 -8.623 
1.55172 -13.090 -13.265 -13.778 -14.345 -15.056 -14.914 -14.383 -14.009 -12.783 
2.06897 -13.090 -13.265 -13.778 -14.351 -14.964 -14.914 -14.684 -14.238 -13.644 
2.58621 -12.667 -12.782 -13.538 -14.351 -14.922 -14.904 -14.701 -14.500 -13.986 
3.10345 -11.954 -12.617 -13.419 -14.391 -14.922 -14.904 -14.858 -14.918 -14.790 
3.62069 -11.351 -12.351 -13.419 -14.391 -14.855 -14.865 -14.892 -15.012 -14.918 
4.13793 -10.657 -12.092 -13.419 -14.236 -14.791 -14.921 -14.892 -15.077 -15.038 
4.65517 -10.549 -11.931 -13.148 -14.128 -14.768 -14.865 -14.840 -15.077 -15.057 
5.17241 -9.175 -11.396 -12.929 -13.925 -14.431 -14.598 -14.838 -14.858 -15.038 
5.68966 -8.437 -10.965 -12.727 -13.713 -14.377 -14.241 -14.764 -14.837 -14.732 
6.20690 -7.857 -10.712 -12.435 -13.417 -13.886 -14.199 -14.520 -14.785 -14.732 
6.72414 -7.629 -10.195 -12.129 -13.173 -13.728 -13.810 -14.471 -14.672 -14.753 
7.24138 -7.371 -10.068 -11.777 -12.917 -13.552 -13.644 -14.141 -14.492 -14.753 
7.75862 -6.272 -9.454 -11.599 -12.493 -13.117 -13.404 -13.863 -14.283 -14.431 
8.27586 -5.228 -8.702 -11.305 -12.183 -12.949 -13.227 -13.735 -14.190 -14.413 
8.79310 -4.501 -8.664 -10.930 -12.103 -12.787 -12.762 -13.545 -14.097 -14.253 
9.31034 -4.501 -8.487 -10.687 -11.867 -12.207 -12.529 -13.212 -13.850 -14.158 
9.82759 -3.998 -8.319 -10.425 -11.628 -12.189 -12.340 -12.938 -13.562 -13.865 
10.34483 -2.111 -7.939 -10.310 -11.190 -12.023 -12.027 -12.781 -13.424 -13.857 
10.86207 -1.749 -7.288 -10.128 -11.149 -11.863 -11.745 -12.646 -13.285 -13.732 
11.37931 -0.848 -6.706 -9.515 -10.771 -11.449 -11.640 -12.218 -13.251 -13.643 
11.89655 -0.848 -6.706 -9.386 -10.554 -11.179 -11.412 -12.126 -12.939 -13.430 
12.41379 -0.468 -6.651 -9.144 -10.355 -10.878 -11.114 -11.990 -12.855 -13.341 
12.93103 0.817 -6.475 -9.007 -10.292 -10.791 -10.945 -11.765 -12.763 -13.326 
13.44828 1.403 -6.154 -8.477 -10.115 -10.788 -10.755 -11.594 -12.552 -13.168 
13.96552 1.988 -5.983 -8.408 -9.763 -10.340 -10.665 -11.458 -12.440 -12.857 
14.48276 2.574 -4.985 -8.166 -9.583 -10.259 -10.139 -11.250 -12.359 -12.840 
15.00000 2.574 -3.791 -7.902 -9.270 -10.138 -10.065 -11.044 -11.918 -12.627 
