# t[days] Lbol[erg/s]
0.51724 4.59680e+40
1.03448 1.37281e+41
1.55172 1.37281e+41
2.06897 1.15484e+41
2.58621 9.32859e+40
3.10345 7.10671e+40
3.62069 6.43857e+40
4.13793 5.83440e+40
4.65517 4.86005e+40
5.17241 4.00133e+40
5.68966 3.41826e+40
6.20690 3.15034e+40
6.72414 2.65240e+40
7.24138 2.48826e+40
7.75862 2.08172e+40
8.27586 1.98674e+40
8.79310 1.65056e+40
9.31034 1.53693e+40
9.82759 1.35894e+40
10.34483 1.20156e+40
10.86207 1.06241e+40
11.37931 9.39369e+39
11.89655 8.30582e+39
12.41379 7.34392e+39
12.93103 6.49343e+39
13.44828 5.74143e+39
13.96552 5.07652e+39
14.48276 4.48861e+39
15.00000 3.96878e+39
