# t[days] Lbol[erg/s]
0.51724 1.30932e+41
1.03448 3.23999e+41
1.55172 4.66809e+41
2.06897 4.66809e+41
2.58621 4.00342e+41
3.10345 3.46075e+41
3.62069 2.50050e+41
4.13793 1.97324e+41
4.65517 1.53664e+41
5.17241 1.12945e+41
5.68966 8.32658e+40
6.20690 6.10276e+40
6.72414 4.87673e+40
7.24138 4.00925e+40
7.75862 3.32635e+40
8.27586 2.77557e+40
8.79310 2.44306e+40
9.31034 2.21278e+40
9.82759 1.92759e+40
10.34483 1.67916e+40
10.86207 1.46274e+40
11.37931 1.27422e+40
11.89655 1.10999e+40
12.41379 9.66936e+39
12.93103 8.42314e+39
13.44828 7.33755e+39
13.96552 6.39187e+39
14.48276 5.56807e+39
15.00000 4.85044e+39
