# t[days] Lbol[erg/s]
0.51724 4.41002e+40
1.03448 7.35348e+40
1.55172 7.35348e+40
2.06897 5.55343e+40
2.58621 4.41478e+40
3.10345 3.56631e+40
3.62069 2.94785e+40
4.13793 2.41115e+40
4.65517 1.99506e+40
5.17241 1.66637e+40
5.68966 1.33975e+40
6.20690 1.21032e+40
6.72414 1.05875e+40
7.24138 9.01550e+39
7.75862 7.50340e+39
8.27586 6.96719e+39
8.79310 6.24492e+39
9.31034 5.35333e+39
9.82759 4.87791e+39
10.34483 4.44472e+39
10.86207 4.04999e+39
11.37931 3.69032e+39
11.89655 3.36259e+39
12.41379 3.06397e+39
12.93103 2.79186e+39
13.44828 2.54392e+39
13.96552 2.31800e+39
14.48276 2.11215e+39
15.00000 1.92457e+39
