# t[days] u g r i z y J H K
0.51724 -11.164 -13.061 -13.900 -14.196 -14.035 -13.836 -13.317 -13.249 -12.487 
1.03448 -11.164 -13.061 -13.900 -14.196 -14.035 -13.836 -13.317 -13.249 -12.844 
1.55172 -9.827 -11.881 -12.720 -12.874 -12.855 -12.830 -12.807 -13.003 -12.844 
2.06897 -8.943 -10.992 -11.540 -11.509 -11.502 -11.651 -11.765 -12.461 -12.550 
2.58621 -8.075 -10.424 -10.884 -10.699 -10.662 -10.363 -11.050 -11.797 -12.046 
3.10345 -7.101 -9.702 -10.456 -10.282 -9.985 -9.748 -10.268 -11.101 -11.586 
3.62069 -6.019 -8.918 -9.935 -9.959 -9.735 -9.476 -9.780 -10.581 -11.257 
4.13793 -4.503 -8.279 -9.267 -9.483 -9.025 -8.784 -9.428 -10.231 -10.917 
4.65517 -3.567 -7.066 -8.640 -8.869 -8.860 -8.391 -8.969 -9.973 -10.726 
5.17241 -2.309 -6.178 -7.851 -8.246 -8.268 -8.245 -8.483 -9.887 -10.470 
5.68966 -0.539 -4.757 -6.921 -7.586 -7.847 -7.853 -8.437 -9.287 -10.255 
6.20690 10.700 -3.639 -6.063 -6.800 -6.796 -7.161 -7.761 -9.186 -9.945 
6.72414 14.044 -2.830 -4.839 -6.090 -6.323 -6.339 -7.598 -8.882 -9.715 
7.24138 17.388 -1.428 -4.733 -5.533 -5.523 -5.496 -7.017 -8.636 -9.433 
7.75862 20.732 -1.345 -2.413 -4.324 -4.541 -4.047 -6.785 -8.256 -9.135 
8.27586 24.075 -0.267 -1.101 -3.528 -4.527 -4.047 -5.819 -7.799 -8.847 
8.79310 27.419 0.821 3.251 -2.876 -3.973 -3.477 -5.381 -7.595 -8.799 
9.31034 30.763 1.713 5.114 -1.185 -3.396 0.625 -5.012 -7.073 -8.541 
9.82759 34.107 2.605 6.977 1.482 -3.395 2.017 -4.735 -6.764 -8.221 
10.34483 37.451 3.497 8.840 2.885 -2.743 3.410 -4.469 -6.674 -7.943 
10.86207 40.795 4.390 10.703 4.288 -2.502 4.803 -4.061 -6.206 -7.499 
11.37931 44.139 5.282 12.566 5.691 -2.459 6.196 -2.090 -5.519 -7.414 
11.89655 47.483 6.174 14.429 7.094 -2.204 7.588 -1.934 -5.472 -6.856 
12.41379 50.826 7.066 16.292 8.497 -1.977 8.981 3.438 -5.087 -6.720 
12.93103 54.170 7.958 18.155 9.899 -1.778 10.374 5.073 -4.508 -6.720 
13.44828 57.514 8.850 20.018 11.302 -1.778 11.766 6.707 -4.052 -6.023 
13.96552 60.858 9.742 21.881 12.705 -1.755 13.159 8.342 -3.460 -5.999 
14.48276 64.202 10.634 23.744 14.108 -1.755 14.552 9.977 -3.371 -5.679 
15.00000 64.202 10.634 23.744 14.108 -1.669 14.552 9.977 -3.253 -5.408 
