# t[days] Lbol[erg/s]
0.51724 6.93850e+40
1.03448 2.00091e+41
1.55172 2.39659e+41
2.06897 2.39659e+41
2.58621 1.88435e+41
3.10345 1.38511e+41
3.62069 9.56402e+40
4.13793 6.58536e+40
4.65517 4.68151e+40
5.17241 3.42012e+40
5.68966 2.71062e+40
6.20690 2.11866e+40
6.72414 1.81575e+40
7.24138 1.52153e+40
7.75862 1.31020e+40
8.27586 1.18985e+40
8.79310 1.06754e+40
9.31034 9.18540e+39
9.82759 8.21582e+39
10.34483 7.34859e+39
10.86207 6.57290e+39
11.37931 5.87908e+39
11.89655 5.25851e+39
12.41379 4.70344e+39
12.93103 4.20696e+39
13.44828 3.76289e+39
13.96552 3.36569e+39
14.48276 3.01042e+39
15.00000 2.69265e+39
