# t[days] Lbol[erg/s]
0.51724 2.94740e+40
1.03448 1.01854e+41
1.55172 1.06787e+41
2.06897 1.06787e+41
2.58621 8.53616e+40
3.10345 7.02199e+40
3.62069 6.63626e+40
4.13793 5.67542e+40
4.65517 5.38547e+40
5.17241 5.03867e+40
5.68966 4.10165e+40
6.20690 3.72682e+40
6.72414 3.48646e+40
7.24138 3.41439e+40
7.75862 3.01446e+40
8.27586 2.87669e+40
8.79310 2.56945e+40
9.31034 2.21157e+40
9.82759 2.15823e+40
10.34483 2.10617e+40
10.86207 2.05537e+40
11.37931 2.00580e+40
11.89655 1.95742e+40
12.41379 1.91021e+40
12.93103 1.86413e+40
13.44828 1.81917e+40
13.96552 1.77529e+40
14.48276 1.73248e+40
15.00000 1.69069e+40
