# t[days] Lbol[erg/s]
0.51724 2.43176e+40
1.03448 1.32805e+41
1.55172 1.48380e+41
2.06897 1.48380e+41
2.58621 1.22505e+41
3.10345 9.69187e+40
3.62069 7.81101e+40
4.13793 6.86400e+40
4.65517 6.08470e+40
5.17241 5.25063e+40
5.68966 4.39691e+40
6.20690 4.00213e+40
6.72414 3.62372e+40
7.24138 3.18067e+40
7.75862 2.79835e+40
8.27586 2.44799e+40
8.79310 2.34068e+40
9.31034 2.05525e+40
9.82759 1.99642e+40
10.34483 1.93929e+40
10.86207 1.88379e+40
11.37931 1.82987e+40
11.89655 1.77750e+40
12.41379 1.72663e+40
12.93103 1.67721e+40
13.44828 1.62921e+40
13.96552 1.58258e+40
14.48276 1.53729e+40
15.00000 1.49329e+40
