# t[days] Lbol[erg/s]
0.51724 2.70432e+40
1.03448 1.87883e+41
1.55172 3.76680e+41
2.06897 3.76680e+41
2.58621 3.65578e+41
3.10345 2.98345e+41
3.62069 2.42178e+41
4.13793 1.77842e+41
4.65517 1.41890e+41
5.17241 9.86302e+40
5.68966 7.47603e+40
6.20690 5.88673e+40
6.72414 4.61217e+40
7.24138 3.86697e+40
7.75862 3.23811e+40
8.27586 2.65582e+40
8.79310 2.29445e+40
9.31034 2.10265e+40
9.82759 1.87562e+40
10.34483 1.67311e+40
10.86207 1.49247e+40
11.37931 1.33133e+40
11.89655 1.18758e+40
12.41379 1.05936e+40
12.93103 9.44980e+39
13.44828 8.42950e+39
13.96552 7.51937e+39
14.48276 6.70750e+39
15.00000 5.98329e+39
