# t[days] u g r i z y J H K
0.51724 -13.331 -14.333 -14.662 -14.749 -14.925 -14.569 -14.201 -14.037 -13.092 
1.03448 -13.331 -14.352 -15.272 -15.674 -15.859 -15.855 -15.506 -15.197 -14.559 
1.55172 -12.712 -14.352 -15.272 -15.674 -15.859 -15.855 -15.859 -15.602 -15.356 
2.06897 -11.045 -13.352 -14.659 -15.432 -15.766 -15.850 -15.859 -15.602 -15.423 
2.58621 -9.867 -12.315 -13.908 -14.777 -15.222 -15.435 -15.686 -15.534 -15.356 
3.10345 -8.833 -11.375 -13.047 -14.149 -14.707 -15.058 -15.289 -15.254 -15.184 
3.62069 -7.457 -10.566 -12.321 -13.518 -14.083 -14.406 -14.749 -14.900 -14.697 
4.13793 -6.385 -9.523 -11.521 -12.724 -13.553 -13.808 -14.369 -14.496 -14.552 
4.65517 -4.878 -8.803 -10.852 -12.192 -12.890 -13.388 -13.924 -14.256 -14.350 
5.17241 -3.100 -7.634 -10.158 -11.705 -12.410 -12.853 -13.545 -13.948 -14.101 
5.68966 -1.039 -6.711 -9.385 -10.997 -11.916 -12.391 -13.180 -13.676 -13.846 
6.20690 1.255 -6.176 -8.894 -10.512 -11.453 -11.878 -12.866 -13.396 -13.716 
6.72414 2.998 -5.931 -8.313 -10.046 -10.960 -11.521 -12.527 -13.105 -13.449 
7.24138 4.740 -4.101 -7.481 -9.320 -10.519 -11.124 -12.140 -12.882 -13.184 
7.75862 6.482 -3.950 -7.141 -8.885 -9.920 -10.588 -11.816 -12.638 -13.110 
8.27586 8.225 -3.703 -6.388 -8.492 -9.668 -10.446 -11.533 -12.411 -12.985 
8.79310 9.967 -2.665 -6.020 -7.808 -9.302 -10.030 -11.254 -12.251 -12.888 
9.31034 11.710 -2.665 -5.536 -7.632 -8.857 -9.709 -10.975 -12.094 -12.685 
9.82759 13.452 -1.121 -4.181 -6.804 -8.192 -9.214 -10.594 -11.847 -12.498 
10.34483 15.194 -1.121 -3.596 -6.222 -8.110 -8.855 -10.253 -11.549 -12.404 
10.86207 16.937 7.591 -3.312 -6.163 -7.623 -8.236 -10.066 -11.390 -12.165 
11.37931 18.679 9.899 -3.043 -5.704 -7.317 -8.209 -9.801 -11.149 -12.075 
11.89655 20.422 12.208 -2.016 -5.573 -6.740 -7.622 -9.424 -11.010 -11.893 
12.41379 22.164 14.516 -1.600 -4.968 -6.094 -6.846 -9.192 -10.725 -11.786 
12.93103 23.907 16.824 0.399 -4.305 -5.805 -6.629 -8.789 -10.330 -11.436 
13.44828 25.649 19.132 1.198 -3.524 -4.695 -5.605 -8.636 -10.122 -11.111 
13.96552 27.391 21.440 1.997 -0.178 -3.220 -5.139 -7.808 -9.813 -10.996 
14.48276 29.134 23.748 2.796 8.371 -3.220 -4.865 -7.624 -9.218 -10.708 
15.00000 29.134 23.748 2.796 8.371 -0.713 -4.077 -7.237 -9.136 -10.528 
