# t[days] u g r i z y J H K
0.51724 -13.205 -13.664 -14.308 -14.706 -14.508 -14.095 -13.210 -13.685 -11.023 
1.03448 -13.288 -14.774 -15.678 -16.051 -15.804 -16.139 -15.784 -15.869 -15.396 
1.55172 -13.288 -14.774 -15.678 -16.253 -16.225 -16.593 -16.421 -15.991 -16.131 
2.06897 -12.568 -14.283 -15.633 -16.253 -16.442 -16.593 -16.582 -16.516 -16.281 
2.58621 -11.377 -13.684 -15.109 -15.985 -16.442 -16.491 -16.594 -16.612 -16.401 
3.10345 -10.966 -13.120 -14.739 -15.691 -16.272 -16.458 -16.594 -16.612 -16.401 
3.62069 -9.760 -12.517 -14.298 -15.429 -15.852 -16.068 -16.471 -16.586 -16.499 
4.13793 -8.815 -12.315 -13.887 -15.011 -15.304 -15.706 -16.250 -16.455 -16.398 
4.65517 -8.808 -11.677 -13.365 -14.590 -15.031 -15.393 -15.884 -16.167 -16.242 
5.17241 -8.228 -11.094 -13.046 -13.989 -14.462 -14.815 -15.523 -15.942 -16.063 
5.68966 -7.410 -10.857 -12.626 -13.536 -14.132 -14.457 -15.352 -15.820 -16.037 
6.20690 -5.961 -10.413 -12.254 -13.031 -13.765 -14.362 -14.931 -15.568 -15.813 
6.72414 -5.286 -9.891 -11.905 -12.800 -13.356 -13.891 -14.744 -15.271 -15.631 
7.24138 -4.660 -9.485 -11.402 -12.478 -12.903 -13.488 -14.540 -15.114 -15.576 
7.75862 -4.236 -9.397 -11.127 -12.077 -12.703 -13.214 -14.111 -14.979 -15.396 
8.27586 -4.236 -8.871 -10.891 -11.718 -12.352 -12.734 -13.775 -14.641 -15.114 
8.79310 -4.957 -8.681 -10.529 -11.470 -11.811 -12.119 -13.478 -14.483 -14.853 
9.31034 -4.957 -8.429 -10.292 -11.211 -11.684 -11.763 -13.202 -14.273 -14.832 
9.82759 -4.423 -7.829 -9.990 -10.945 -11.246 -11.725 -12.762 -14.055 -14.611 
10.34483 -3.472 -7.820 -9.829 -10.677 -10.741 -11.173 -12.538 -13.705 -14.344 
10.86207 -2.441 -6.912 -9.051 -10.466 -10.434 -10.823 -12.375 -13.496 -14.301 
11.37931 -1.101 -6.003 -8.772 -10.289 -10.239 -10.512 -11.870 -13.361 -14.128 
11.89655 2.132 -5.894 -8.460 -9.410 -10.020 -10.433 -11.817 -13.051 -13.863 
12.41379 3.550 -5.773 -8.224 -9.385 -9.755 -10.027 -11.580 -12.941 -13.714 
12.93103 4.967 -5.525 -7.783 -8.874 -9.361 -9.918 -11.202 -12.665 -13.493 
13.44828 6.385 -5.232 -7.566 -8.793 -9.090 -9.151 -10.892 -12.475 -13.401 
13.96552 7.803 -3.847 -6.918 -8.505 -9.004 -8.770 -10.799 -12.155 -13.210 
14.48276 9.221 -3.842 -6.619 -8.241 -8.510 -8.770 -10.377 -11.889 -13.160 
15.00000 9.221 0.000 -5.532 -7.580 -8.473 -8.767 -9.892 -11.734 -12.956 
