# t[days] Lbol[erg/s]
0.51724 9.86402e+40
1.03448 9.86402e+40
1.55172 4.16886e+40
2.06897 1.73989e+40
2.58621 9.69549e+39
3.10345 6.46099e+39
3.62069 4.63628e+39
4.13793 3.41166e+39
4.65517 2.64249e+39
5.17241 2.07364e+39
5.68966 1.75879e+39
6.20690 1.46154e+39
6.72414 1.18003e+39
7.24138 1.04359e+39
7.75862 9.05474e+38
8.27586 7.57783e+38
8.79310 6.60142e+38
9.31034 5.94416e+38
9.82759 5.11310e+38
10.34483 4.39823e+38
10.86207 3.78331e+38
11.37931 3.25436e+38
11.89655 2.79936e+38
12.41379 2.40798e+38
12.93103 2.07132e+38
13.44828 1.78172e+38
13.96552 1.53262e+38
14.48276 1.31834e+38
15.00000 1.13402e+38
