# t[days] u g r i z y J H K
0.51724 -10.689 -12.102 -11.726 -12.389 -10.727 -12.645 -10.736 -13.055 -11.685 
1.03448 -13.534 -14.285 -14.688 -15.237 -15.119 -14.595 -14.893 -14.707 -13.268 
1.55172 -13.534 -14.285 -15.001 -15.554 -15.630 -15.528 -15.441 -14.766 -14.320 
2.06897 -13.185 -13.833 -15.034 -15.734 -15.902 -15.806 -15.616 -15.444 -15.036 
2.58621 -12.465 -13.833 -15.001 -15.748 -16.033 -16.007 -15.751 -15.475 -15.282 
3.10345 -11.979 -13.755 -14.917 -15.734 -16.033 -16.007 -15.888 -15.480 -15.307 
3.62069 -11.494 -13.496 -14.740 -15.676 -15.974 -15.968 -15.888 -15.702 -15.307 
4.13793 -10.540 -13.103 -14.548 -15.432 -15.879 -15.860 -15.700 -15.702 -15.423 
4.65517 -9.908 -12.660 -14.270 -15.213 -15.485 -15.629 -15.652 -15.536 -15.435 
5.17241 -9.905 -12.360 -13.978 -14.965 -15.282 -15.347 -15.464 -15.526 -15.423 
5.68966 -8.475 -11.855 -13.525 -14.647 -15.005 -15.099 -15.195 -15.277 -15.351 
6.20690 -7.940 -11.540 -13.262 -14.243 -14.686 -14.709 -15.118 -15.186 -15.279 
6.72414 -7.736 -11.105 -13.044 -13.941 -14.232 -14.405 -14.699 -14.933 -14.923 
7.24138 -6.659 -10.729 -12.599 -13.561 -13.855 -14.111 -14.470 -14.763 -14.902 
7.75862 -6.654 -10.315 -12.376 -13.234 -13.606 -13.713 -14.215 -14.605 -14.659 
8.27586 -6.151 -9.973 -12.037 -12.969 -13.395 -13.609 -14.015 -14.473 -14.613 
8.79310 -4.835 -9.548 -11.627 -12.660 -13.055 -13.287 -13.733 -14.144 -14.323 
9.31034 -4.333 -9.313 -11.444 -12.431 -12.658 -12.976 -13.476 -13.986 -14.223 
9.82759 -4.504 -9.084 -11.197 -12.092 -12.487 -12.763 -13.190 -13.849 -14.198 
10.34483 -4.080 -8.565 -10.808 -11.808 -12.231 -12.570 -13.160 -13.757 -14.067 
10.86207 -4.172 -8.215 -10.496 -11.665 -11.990 -12.203 -12.894 -13.538 -13.875 
11.37931 -2.321 -7.730 -10.403 -11.423 -11.633 -11.878 -12.570 -13.331 -13.622 
11.89655 -3.640 -7.696 -10.000 -11.018 -11.455 -11.515 -12.364 -13.099 -13.595 
12.41379 -0.077 -7.212 -9.816 -10.851 -11.183 -11.405 -12.214 -13.060 -13.424 
12.93103 0.717 -6.751 -9.592 -10.468 -11.108 -11.297 -11.994 -12.954 -13.418 
13.44828 1.761 -6.569 -9.394 -10.457 -10.979 -11.041 -11.876 -12.839 -13.288 
13.96552 2.806 -6.420 -9.121 -10.094 -10.614 -10.669 -11.837 -12.572 -13.171 
14.48276 3.850 -5.923 -8.677 -9.807 -10.267 -10.629 -11.591 -12.450 -13.056 
15.00000 3.850 -5.569 -7.981 -9.469 -10.001 -10.305 -11.165 -12.211 -12.792 
