# t[days] Lbol[erg/s]
0.51724 1.79325e+40
1.03448 1.23446e+41
1.55172 1.69310e+41
2.06897 1.69310e+41
2.58621 1.18681e+41
3.10345 1.04340e+41
3.62069 9.47318e+40
4.13793 8.99323e+40
4.65517 7.12770e+40
5.17241 6.72156e+40
5.68966 6.35882e+40
6.20690 5.90544e+40
6.72414 5.39229e+40
7.24138 5.30622e+40
7.75862 4.51883e+40
8.27586 3.91941e+40
8.79310 3.58533e+40
9.31034 3.23277e+40
9.82759 2.74206e+40
10.34483 2.32585e+40
10.86207 1.97280e+40
11.37931 1.67335e+40
11.89655 1.41935e+40
12.41379 1.20391e+40
12.93103 1.02117e+40
13.44828 8.66164e+39
13.96552 7.34689e+39
14.48276 6.23170e+39
15.00000 5.28579e+39
